amount0,amount1,amountUSD,id,sqrtPriceX96,tick,timestamp,timestamp_1,liquidity,token0Price,token1Price,sqrtPrice,open,close,datetime
-879.857186,0.29,881.1812596,0x62df59256eeb51099009c488f1c072d9662ce90f5f20e8304d048555295667ed#170455,1.43622E+33,196113,1629315614,18-08-2021 19:40,2.23034E+19,3034.427885,0.000329551,1.43827E+33,3063.200328,3034.427885,19-08-2021 01:10
-5190.279884,1.710719239,5198.099745,0x630e18900bb53556f9cdc30c6d80e2ecae6029ee08928465f600f366242a7c0b#170456,1.43622E+33,196113,1629315680,18-08-2021 19:41,2.23034E+19,3034.427885,0.000329551,1.43827E+33,3063.200328,3034.427885,19-08-2021 01:11
-3608.887707,1.1895,3614.322653,0x1cbd3c11b499139fb55cc6d6d9cacd95c803678d487543a03a5a556376dad4aa#170457,1.43623E+33,196113,1629315708,18-08-2021 19:41,2.23034E+19,3034.427885,0.000329551,1.43827E+33,3063.200328,3034.427885,19-08-2021 01:11
-2548.508159,0.84,2552.34508,0xc95c78fbdab6aac88ca33a4ed28a2c1926cde10a38e8c3624de77af307b4f585#170458,1.43623E+33,196113,1629315784,18-08-2021 19:43,2.23034E+19,3034.427885,0.000329551,1.43827E+33,3063.200328,3034.427885,19-08-2021 01:13
-1931.623611,0.636674342,1934.531289,0x1bcb9e4bc154b0dd6ba0418fdb50aaba9abbee5b905a4150f315dc71034e069f#170461,1.43623E+33,196113,1629315855,18-08-2021 19:44,2.23034E+19,3034.427885,0.000329551,1.43827E+33,3063.200328,3034.427885,19-08-2021 01:14
-758.480141,0.25,759.6215197,0x0594fc4c4dc5bdd8ac35f208df8bbd9cadc3d18ecc3734f49be8743c7143df78#170462,1.43623E+33,196113,1629315884,18-08-2021 19:44,2.23034E+19,3034.427885,0.000329551,1.43827E+33,3063.200328,3034.427885,19-08-2021 01:14
-996.567165,0.328475505,998.0669197,0x6ada7edb2d05dd9eac371ed211e0cbfb46a26c95f49276727e1f6c0dc18dcb4a#170463,1.43624E+33,196113,1629315890,18-08-2021 19:44,2.23034E+19,3034.427885,0.000329551,1.43827E+33,3063.200328,3034.427885,19-08-2021 01:14
-9322.060084,3.073825619,9336.120738,0x9cb7cc69eb0c0add00a9fce271065c1d3b8fdb2a7fb485275b05bcb628b1b039#170465,1.43652E+33,196117,1629315917,18-08-2021 19:45,2.23034E+19,3034.427885,0.000329551,1.43827E+33,3063.200328,3034.427885,19-08-2021 01:15
-236509.0148,77.97010128,236887.6889,0xd05d9cfff69fa415df439774672312312871084d3f6c48b5a8f345f7227d5e0f#170464,1.43651E+33,196117,1629315917,18-08-2021 19:45,2.23034E+19,3034.427885,0.000329551,1.43827E+33,3063.200328,3034.427885,19-08-2021 01:15
-69960.74635,23.07011721,70068.00216,0xb639be9b61f7977c4634a459c7c658ceddc26f47186c19e686b442a46e8e5a92#170466,1.4366E+33,196119,1629315932,18-08-2021 19:45,2.23034E+19,3034.427885,0.000329551,1.43827E+33,3063.200328,3034.427885,19-08-2021 01:15
-11227.04505,3.702452924,11243.98777,0xcc7f5daa5fe1f6b788a69e0538ffadfa873092279b53e3a4b046a7debb1c5e58#170467,1.43662E+33,196119,1629315985,18-08-2021 19:46,2.23034E+19,3034.427885,0.000329551,1.43827E+33,3063.200328,3034.427885,19-08-2021 01:16
-299164.2628,98.68328135,299650.9202,0xf1ea24d1408718d889e23a0fca817c3a2b4b9c962e50cee1408093885d7b7146#170468,1.43697E+33,196124,1629316384,18-08-2021 19:53,2.23034E+19,3034.427885,0.000329551,1.43827E+33,3063.200328,3034.427885,19-08-2021 01:23
-8500,2.804539883,8512.81788,0x07e8b76315b0b01e3fd103d1debb207f08f8cc39378ffb5ab354f7ba811cb3e1#170469,1.43698E+33,196124,1629316419,18-08-2021 19:53,2.23034E+19,3034.427885,0.000329551,1.43827E+33,3063.200328,3034.427885,19-08-2021 01:23
-298085.8374,98.37675829,298570.6183,0xe7252b1b31c30293b1f56c4713afbe5da6bde3662615ba7b6261f15eb095e130#170470,1.43733E+33,196129,1629316423,18-08-2021 19:53,2.23034E+19,3034.427885,0.000329551,1.43827E+33,3063.200328,3034.427885,19-08-2021 01:23
-243402.2737,80.4,243792.6935,0x7efa86cf3af938cf9a366cbdc24891b83d29db1220c97fdfd0abdf0082138a3b#170472,1.43792E+33,196137,1629316449,18-08-2021 19:54,2.23034E+19,3034.427885,0.000329551,1.43827E+33,3063.200328,3034.427885,19-08-2021 01:24
-266521.1791,88,266951.1948,0xc485073c6bc27a51abdca752a2076c70945518bd0606f4946dbd058d19f8d957#170471,1.43764E+33,196133,1629316449,18-08-2021 19:54,2.23034E+19,3034.427885,0.000329551,1.43827E+33,3063.200328,3034.427885,19-08-2021 01:24
-18915.58224,6.249481428,18944.18725,0x90adb553ebdfe29fbcdc706b4ce5caa7dce1600c7086456513ca6c7ec43258b5#170473,1.43795E+33,196137,1629316516,18-08-2021 19:55,2.23034E+19,3034.427885,0.000329551,1.43827E+33,3063.200328,3034.427885,19-08-2021 01:25
-258292.5975,85.35621046,258708.7057,0xcfb471ca24e29c3075de6b12979412c6b4e5d1a8d0a4977606d4463c09880778#170474,1.43825E+33,196141,1629316570,18-08-2021 19:56,2.23034E+19,3034.427885,0.000329551,1.43827E+33,3063.200328,3034.427885,19-08-2021 01:26
-14699.35966,4.858710502,14721.56695,0xb4472eb569a58442c72308a1849b8c63dc01ce67b78d9612e46b7782e68b73a6#170475,1.43827E+33,196142,1629316686,18-08-2021 19:58,2.23034E+19,3034.427885,0.000329551,1.43827E+33,3063.200328,3034.427885,19-08-2021 01:28
-289398.5659,95.68216736,289869.6013,0x06f90597772c42858cc5773843865ae57c6b6352287742cd9063c18aef3794c1#170476,1.43863E+33,196147,1629316970,18-08-2021 20:02,2.14044E+19,3003.419592,0.000332954,1.44568E+33,3032.938496,3003.419592,19-08-2021 01:32
-196849.4625,65.11004593,197162.1136,0x75ad8c0b3dce901a077a24c0aeb573119d517e419cb6af9465efb6191471b1f4#170478,1.43887E+33,196150,1629318150,18-08-2021 20:22,2.14044E+19,3003.419592,0.000332954,1.44568E+33,3032.938496,3003.419592,19-08-2021 01:52
-226861.5822,75.07789964,227224.8043,0x3218ebf0c484b17d907254152a00f263e7029acada8351f043aef1b2139252af#170480,1.43928E+33,196156,1629318172,18-08-2021 20:22,2.14044E+19,3003.419592,0.000332954,1.44568E+33,3032.938496,3003.419592,19-08-2021 01:52
-110239.8492,36.4725,110410.8782,0xdb8d179880aae8a8ecf56cd505d479e242bcbaf8f038c28ec75b5cf9adade090#170479,1.439E+33,196152,1629318172,18-08-2021 20:22,2.14044E+19,3003.419592,0.000332954,1.44568E+33,3032.938496,3003.419592,19-08-2021 01:52
-559.484447,0.185192368,560.3263326,0x0317497d8474a11160be1ffac534e8ddaa2a50ab92c05fae6274878d7dbae38e#170482,1.43928E+33,196156,1629318228,18-08-2021 20:23,2.14044E+19,3003.419592,0.000332954,1.44568E+33,3032.938496,3003.419592,19-08-2021 01:53
-124.287243,0.041139724,124.4742415,0x1ec630e9ddc5dbb8697cb601c8025597b2537ff8cb82d78da61abc61949887e0#170481,1.43928E+33,196156,1629318228,18-08-2021 20:23,2.14044E+19,3003.419592,0.000332954,1.44568E+33,3032.938496,3003.419592,19-08-2021 01:53
-507213.1126,167.9627856,508085.9619,0xcaeae5bd9734132e986415da4f1d662879d4742514879983752ef406471de667#170484,1.4399E+33,196164,1629319104,18-08-2021 20:38,2.14044E+19,3003.419592,0.000332954,1.44568E+33,3032.938496,3003.419592,19-08-2021 02:08
-281083.3516,93.14271368,281539.9553,0x9278de4ae076c4b3d8d98a75b79ada50ba79f4a2f95f1686ceb36f7a6d520d2d#170485,1.44024E+33,196169,1629319113,18-08-2021 20:38,2.14044E+19,3003.419592,0.000332954,1.44568E+33,3032.938496,3003.419592,19-08-2021 02:08
-137798.5732,45.67864702,138013.9935,0x62845e9fbbeffd33b02feab67df8b22c05ed578eb8a6d7bda0a5b8baf6bed059#170488,1.44041E+33,196171,1629319175,18-08-2021 20:39,2.14044E+19,3003.419592,0.000332954,1.44568E+33,3032.938496,3003.419592,19-08-2021 02:09
-8000,2.65227504,8012.063441,0x56230630fd51eae4f2183af3c0c03b2c728fc6d289d8dfba1d5bade0bd94154c#170493,1.44043E+33,196172,1629319305,18-08-2021 20:41,2.14044E+19,3003.419592,0.000332954,1.44568E+33,3032.938496,3003.419592,19-08-2021 02:11
-8379.997455,2.778218508,8392.635266,0x8609250b48b6408148f697b918600a67ae9cd98386d4e157f926fa3838aee988#170492,1.44042E+33,196172,1629319305,18-08-2021 20:41,2.14044E+19,3003.419592,0.000332954,1.44568E+33,3032.938496,3003.419592,19-08-2021 02:11
-14034.57644,4.653031908,14055.77577,0x97ee8ee5b095a0c9cac33b66d2e24d7f0482addfe1e427c5e6487465538cadec#170494,1.44045E+33,196172,1629319359,18-08-2021 20:42,2.14044E+19,3003.419592,0.000332954,1.44568E+33,3032.938496,3003.419592,19-08-2021 02:12
-1585.728976,0.525902986,1588.115801,0x882bac42630bd2eabc9e7471b0da00b26947b7bf49b37e93758ada5a17b30a59#170496,1.44067E+33,196175,1629319367,18-08-2021 20:42,2.14044E+19,3003.419592,0.000332954,1.44568E+33,3032.938496,3003.419592,19-08-2021 02:12
-181382.8115,60.14577549,181669.7573,0xb75dd835ce09cbff867fe239134765f94d55118070433f5b2ca9c24dfced8580#170495,1.44067E+33,196175,1629319367,18-08-2021 20:42,2.14044E+19,3003.419592,0.000332954,1.44568E+33,3032.938496,3003.419592,19-08-2021 02:12
-162933.7214,54.04412771,163190.1986,0x93a072dc946d65529304f77383194543458064f7f1ef6520babaf1d85906cc61#170497,1.44087E+33,196178,1629319387,18-08-2021 20:43,2.14044E+19,3003.419592,0.000332954,1.44568E+33,3032.938496,3003.419592,19-08-2021 02:13
-55311.80935,18.35000288,55396.33377,0x369ab82c46cca4226096ed24da40ae0412d17e8de82d3f376562267554041716#170498,1.44094E+33,196179,1629319414,18-08-2021 20:43,2.14044E+19,3003.419592,0.000332954,1.44568E+33,3032.938496,3003.419592,19-08-2021 02:13
-9533.219582,3.162873768,9547.601281,0x2fb7d0850dd73c0fcd3fe6efd5bbbfa65c6883906fc4c19ade7861e1e42c424a#170500,1.44095E+33,196179,1629319490,18-08-2021 20:44,2.14044E+19,3003.419592,0.000332954,1.44568E+33,3032.938496,3003.419592,19-08-2021 02:14
-321.790916,0.106762735,322.275099,0xa0139f34f759a6348c69ca2d3f5a1db349c1007760b1336ce786263d29a4e208#170501,1.44095E+33,196179,1629319517,18-08-2021 20:45,2.14044E+19,3003.419592,0.000332954,1.44568E+33,3032.938496,3003.419592,19-08-2021 02:15
-3000,0.995367143,3004.517387,0x15941a2c9117eacffe04a4c80812aa8f855d29931df804410f828788fb3eb264#170504,1.44098E+33,196179,1629319591,18-08-2021 20:46,2.14044E+19,3003.419592,0.000332954,1.44568E+33,3032.938496,3003.419592,19-08-2021 02:16
-5953.081431,1.97515215,5962.053069,0xd1d877bd2bed6af3612f3f8e82529b1b67cb277c6c7408822aa7c344c541c47d#170503,1.44098E+33,196179,1629319591,18-08-2021 20:46,2.14044E+19,3003.419592,0.000332954,1.44568E+33,3032.938496,3003.419592,19-08-2021 02:16
-14185.40403,4.706445016,14206.83216,0xfa585926705ec613135f79b1cfc31d5f07f51d734021ccdb9f54d0e86866685f#170502,1.44097E+33,196179,1629319591,18-08-2021 20:46,2.14044E+19,3003.419592,0.000332954,1.44568E+33,3032.938496,3003.419592,19-08-2021 02:16
-428544.6559,142.2387327,429267.924,0xb09e67e1b095726a362a5c4da60ad38c3a29509aab6b44356ca2246e464d2aae#170505,1.44151E+33,196187,1629319613,18-08-2021 20:46,2.14044E+19,3003.419592,0.000332954,1.44568E+33,3032.938496,3003.419592,19-08-2021 02:16
-9256.906195,3.073616757,9270.869972,0xccd65d4e8aa2bb80d55a90d7439e696ed651174883284e39e592365e630b4108#170506,1.44152E+33,196187,1629319613,18-08-2021 20:46,2.14044E+19,3003.419592,0.000332954,1.44568E+33,3032.938496,3003.419592,19-08-2021 02:16
-685.116189,0.227636363,686.1471566,0x6a3205a1b8d7d0d7e260686e8eed1f5de29994d804dd9a8e05a909bbd27cf109#170508,1.442E+33,196194,1629319643,18-08-2021 20:47,2.14044E+19,3003.419592,0.000332954,1.44568E+33,3032.938496,3003.419592,19-08-2021 02:17
-391403.3134,130.004,392057.7041,0x6df6b3ec9b59071001a31380e487ed319be9ef3ec695fa5b59d1d9751e7a3e0c#170507,1.442E+33,196194,1629319643,18-08-2021 20:47,2.14044E+19,3003.419592,0.000332954,1.44568E+33,3032.938496,3003.419592,19-08-2021 02:17
-126393.5215,42,126590.5153,0xd749773cd1b389899e097b7bd82f5f7edcdf7bafc2e8a1535269dcffb46e0f57#170509,1.44216E+33,196196,1629319679,18-08-2021 20:47,2.14044E+19,3003.419592,0.000332954,1.44568E+33,3032.938496,3003.419592,19-08-2021 02:17
-213603.2869,71,213944.1751,0x45998ae8e91606d0a7c08badc62ad563e44a2c36dbb15016be7e466d9fbd9a17#170510,1.44242E+33,196199,1629319738,18-08-2021 20:48,2.14044E+19,3003.419592,0.000332954,1.44568E+33,3032.938496,3003.419592,19-08-2021 02:18
-1392.418977,0.462913657,1394.51472,0x196f26862b7819282328481845237361e6f8d5052d32679788a13afb08e484b1#170512,1.44242E+33,196199,1629320033,18-08-2021 20:53,2.14044E+19,3003.419592,0.000332954,1.44568E+33,3032.938496,3003.419592,19-08-2021 02:23
-1500,0.498681953,1502.257732,0x98395f4983dc15f6bc1b3a523521bc65d961cb1cc4b90db8a48b18117abfe21e#170515,1.44243E+33,196199,1629320065,18-08-2021 20:54,2.14044E+19,3003.419592,0.000332954,1.44568E+33,3032.938496,3003.419592,19-08-2021 02:24
-1702.055596,0.565854727,1704.617601,0xa2a97b2cb9545fc11814925311840fc273143b2b88d8ff081481e15326f2f08e#170513,1.44242E+33,196199,1629320065,18-08-2021 20:54,2.14044E+19,3003.419592,0.000332954,1.44568E+33,3032.938496,3003.419592,19-08-2021 02:24
-7700.28,2.573015819,7711.890312,0x2461066ffedfbcf150da82f0fd953a669183f6d10bf88f9e627caeb531d4cc74#170517,1.44609E+33,196250,1629320099,18-08-2021 20:54,2.14044E+19,3003.419592,0.000332954,1.44568E+33,3032.938496,3003.419592,19-08-2021 02:24
-3000315.676,1000,3008645.973,0xd94091c6802b551513c2c2dc6361863244474c4aa0b58ef39871b7c49b3190ea#170516,1.44608E+33,196250,1629320099,18-08-2021 20:54,2.14044E+19,3003.419592,0.000332954,1.44568E+33,3032.938496,3003.419592,19-08-2021 02:24
160971.1202,-53.45866818,160718.7788,0x48805c8e6109ca97605de3a9433c614bb68f66746acf968ccde6a016cc4cee35#170518,1.4459E+33,196247,1629320139,18-08-2021 20:55,2.14044E+19,3003.419592,0.000332954,1.44568E+33,3032.938496,3003.419592,19-08-2021 02:25
-2394.794046,0.8,2398.399477,0xadc309eb6fe185fc592549673d86a50d51937494bf457a679cd610f7f0f8b4d5#170519,1.4459E+33,196248,1629320141,18-08-2021 20:55,2.14044E+19,3003.419592,0.000332954,1.44568E+33,3032.938496,3003.419592,19-08-2021 02:25
156531.9609,-51.97072281,156286.8717,0x0190efaef38707e652fb569d4aed2a57f783a075d155127437e2dc43016519bb#170520,1.44571E+33,196245,1629320249,18-08-2021 20:57,2.14044E+19,3003.419592,0.000332954,1.44568E+33,3032.938496,3003.419592,19-08-2021 02:27
764.30949,-0.253716482,763.1627801,0x5f15ad1dfcf321c72197579ac732bb1a5a06a2817f6f2908a0913a0db735fb5a#170522,1.44568E+33,196244,1629320265,18-08-2021 20:57,2.14044E+19,3003.419592,0.000332954,1.44568E+33,3032.938496,3003.419592,19-08-2021 02:27
25609.20272,-8.50129598,25570.51346,0x77b8c02100870c36c94c15ab0784067586d01a807ed020b30edf1b2447208ec4#170521,1.44568E+33,196244,1629320265,18-08-2021 20:57,2.14044E+19,3003.419592,0.000332954,1.44568E+33,3032.938496,3003.419592,19-08-2021 02:27
5000,-1.659767769,4992.489518,0x10b3f89909ff7de29fbcc546bf7c9f5b25f3b46a7cc9f2abdfc65a0d5d2f90ae#170524,1.44567E+33,196244,1629320534,18-08-2021 21:02,2.15922E+19,3009.571595,0.000332273,1.4442E+33,3003.419592,3009.571595,19-08-2021 02:32
175298.8975,-58.14471033,175023.0713,0x2d62ea05930650db30b64c3a3c174e7abce9be8127013977cc98f0aad1db2992#170526,1.44499E+33,196235,1629320603,18-08-2021 21:03,2.15922E+19,3009.571595,0.000332273,1.4442E+33,3003.419592,3009.571595,19-08-2021 02:33
383980.7859,-127.4220997,383343.0176,0x4da183421c7b68046d21f7dfc7d5659dc33925c070fdf5b8bce958286e9396c0#170525,1.44521E+33,196238,1629320603,18-08-2021 21:03,2.15922E+19,3009.571595,0.000332273,1.4442E+33,3003.419592,3009.571595,19-08-2021 02:33
221078.733,-73.30494652,220726.6364,0x2f071006810e4e1f7e48a02d4a27b4e3c140be134183b19a55ca4d70fb8560e6#170527,1.44472E+33,196231,1629320662,18-08-2021 21:04,2.15922E+19,3009.571595,0.000332273,1.4442E+33,3003.419592,3009.571595,19-08-2021 02:34
104250.088,-34.55763278,104089.1597,0x8d4a40a819e05f58d53646b38fd352766325ca9d10e04710152b8ffeab813e3b#170528,1.4446E+33,196229,1629320662,18-08-2021 21:04,2.15922E+19,3009.571595,0.000332273,1.4442E+33,3003.419592,3009.571595,19-08-2021 02:34
418220.6388,-138.5741842,417520.0491,0x8e680b45b894e9bd81dd3f3ea505438fe33d3078ff7f6d43a8f2d3d71563918c#170533,1.44409E+33,196222,1629320683,18-08-2021 21:04,2.15922E+19,3009.571595,0.000332273,1.4442E+33,3003.419592,3009.571595,19-08-2021 02:34
432276.3624,-143.1290796,431549.6416,0x82c6ee13f6e1d192e716c83769ce373d57a6f9c1e99268d718e9e11b9207e6b5#170536,1.44356E+33,196215,1629320756,18-08-2021 21:05,2.15922E+19,3009.571595,0.000332273,1.4442E+33,3003.419592,3009.571595,19-08-2021 02:35
272198.579,-90.07308426,271759.2394,0xa6ec98a63b3cb337d7210ac249702fb3b5845c60cfc77ff320cf83b7dc439584#170537,1.44323E+33,196211,1629320794,18-08-2021 21:06,2.15922E+19,3009.571595,0.000332273,1.4442E+33,3003.419592,3009.571595,19-08-2021 02:36
